epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
108,109.563,0.61087,1.31624,0.86976,1.16511,0,0.98713,1,0.995,0.75957,0.98713,1,0.995,0.8311,0.83382,0.80551,1.36806,1.39683,0,0.0009407,0.0009407,0.0009407
109,110.305,0.80046,1.39883,0.8418,1.26958,0,0.98713,1,0.995,0.75957,0.98713,1,0.995,0.8311,0.83382,0.80551,1.36806,1.39683,0,0.0009308,0.0009308,0.0009308
110,111.303,0.63386,1.31323,0.86823,1.12836,0,0.98713,1,0.995,0.75957,0.98713,1,0.995,0.8311,0.83382,0.80551,1.36806,1.39683,0,0.0009209,0.0009209,0.0009209
111,112.29,0.77841,0.93163,0.92023,1.31537,0,0.98713,1,0.995,0.75957,0.98713,1,0.995,0.8311,0.83382,0.80551,1.36806,1.39683,0,0.000911,0.000911,0.000911
112,113.071,0.73437,0.89474,0.81293,1.01471,0,0.98841,1,0.995,0.69207,0.98841,1,0.995,0.80481,1.01915,0.90642,1.72906,1.65256,0,0.0009011,0.0009011,0.0009011
113,113.835,0.72462,1.24612,0.89584,1.14259,0,0.98841,1,0.995,0.69207,0.98841,1,0.995,0.80481,1.01915,0.90642,1.72906,1.65256,0,0.0008912,0.0008912,0.0008912
114,114.579,0.73522,1.12055,1.00894,1.3075,0,0.98841,1,0.995,0.69207,0.98841,1,0.995,0.80481,1.01915,0.90642,1.72906,1.65256,0,0.0008813,0.0008813,0.0008813
115,115.431,0.89813,1.30584,1.0001,1.33719,0,0.98841,1,0.995,0.69207,0.98841,1,0.995,0.80481,1.01915,0.90642,1.72906,1.65256,0,0.0008714,0.0008714,0.0008714
116,116.466,0.62523,0.69996,0.97994,1.12874,0,0.9578,1,0.995,0.70294,0.9578,1,0.995,0.80581,0.98577,0.76912,1.71836,1.67334,0,0.0008615,0.0008615,0.0008615
117,117.297,1.17289,1.63887,1.15,1.64823,0,0.9578,1,0.995,0.70294,0.9578,1,0.995,0.80581,0.98577,0.76912,1.71836,1.67334,0,0.0008516,0.0008516,0.0008516
118,118.29,0.94368,1.06322,0.96524,1.3663,0,0.9578,1,0.995,0.70294,0.9578,1,0.995,0.80581,0.98577,0.76912,1.71836,1.67334,0,0.0008417,0.0008417,0.0008417
119,119.044,0.86385,1.3205,1.21364,1.58406,0,0.9578,1,0.995,0.70294,0.9578,1,0.995,0.80581,0.98577,0.76912,1.71836,1.67334,0,0.0008318,0.0008318,0.0008318
